"","WA_SAMPLE_ID","WA_ASSESSMENT"
"1","44.34728_-74.3144_20240912","no conclusion"
"2","43.02120495510088_-73.3711509361763_20240708","no known impact"
"3","43.30597726166349_-73.58060653124821_20240715","no conclusion"
"4",NA,"no known impact"
"5",NA,"no conclusion"
"6","","no conclusion"
"7","43.162068_-73.505096_20240702","no conclusion"
"8","42.99248133378242_-73.48019699388313_20240708","no conclusion"
"9","44.34776_-74.27807_20240905","no conclusion"
"10","42.059444_-76.343056_20240707","no conclusion"
"11","42.615252_-76.875636_20240811","no conclusion"
"12","42.8689_-76.9944_20240817","no conclusion"
"13","43.449307780897215_-74.2425485813148_20240829","no conclusion"
"14","44.431985539476884_-74.30052555073048_20240830","no conclusion"
"15","43.05882287658514_-75.38880916345954_20240818","no conclusion"
"16","43.22669393030721_-75.28654315239251_20240818","no conclusion"
"17","","no known impact"
"18","44.292357_-74.315412_20240827","no conclusion"
"19","42.877761_-73.4946989_20240730","no known impact"
"20","42.61253639999927_-76.8493462999987_20240926","no conclusion"
"21",NA,"possibly impaired"
"22","44.27658_-74.34847_20240928","no conclusion"
"23","42.194940898129545_-74.09719180549457_20240912","no conclusion"
"24","42.336944_-76.838056_20240804","no known impact"
"25","42.540916_-75.508265_20240808","no conclusion"
"26","42.765_-76.976525_20240915","no conclusion"
"27","42.61573474869175_-76.87378560677_20240926","no conclusion"
"28","42.64983901941339_-75.78731910288516_20240807","no known impact"
"29","42.61189369999928_-76.84930299999871_20240817","no conclusion"
"30","42.868889_-76.994444_20240801","no conclusion"
"31","42.49058_-76.913779_20240714","no known impact"
"32","42.60344011974672_-75.64507262817537_20240807","no conclusion"
"33","42.457315_-75.53909_20240808","no conclusion"
