WAVE_ASSESSMENT,WAVE_MACRO,WAVE_SAMPLE_EVENT_INFO
WA_SAMPLE_ID,WMFDH_SAMPLE_ID,WSEI_SAMPLE_ID
WA_ASSESSMENT,WMFDH_MACRO_FAMILY,WSEI_LATITUDE
,,WSEI_LONGITUDE
,,WSEI_COLLECTION_DATE
,,WSEI_PRIMARY_CONTACT
,,WSEI_SECONDARY_CONTACT
,,WSEI_WATER_CLARITY
,,WSEI_SUSPENDED_PHYTOPLANKTON
,,WSEI_PERIPHYTON
,,WSEI_MACROPHYTE
,,WSEI_ODOR
,,WSEI_TRASH
,,WSEI_DISCHARGE_PIPE
,,WSEI_PRIMARY_VARIABLE
,,WSEI_CURRENT_WEATHER
,,WSEI_PREV_WEATHER
,,WSEI_USER_NOTES
,,WSEI_EPIFAUNAL_COVER
,,WSEI_EMBEDDEDNESPOOLING
,,WSEI_VELOCITY_DEPTH_REGIME
,,WSEI_SEDIMENT_DEPOSITION
,,WSEI_FLOW_STATUS
,,WSEI_CHANNEL_ALTERATION
,,WSEI_RIFFLE_BEND_FREQUENCY
,,WSEI_LEFT_BANK_STABILITY
,,WSEI_RIGHT_BANK_STABILITY
,,WSEI_LEFT_BANK_VEG
,,WSEI_RIGHT_BANK_VEG
,,WSEI_LEFT_BANK_VEG_ZONE
,,WSEI_RIGHT_BANK_VEG_ZONE
